customer_id,name,gender,age,city,signup_date
1,오준수,남성,24,고양,2026-03-08
2,전서희,여성,27,고양,2025-03-09
3,권재윤,여성,45,서울,2024-08-12
4,송현진,여성,52,서울,2024-11-18
5,김준수,여성,64,서울,2024-06-24
6,송은아,여성,35,울산,2024-07-30
7,황윤희,남성,40,부산,2026-04-27
8,황서우,남성,32,수원,2025-04-06
9,권재진,남성,54,서울,2024-11-11
10,윤예진,남성,46,서울,2025-04-28
11,송수호,여성,40,수원,2026-01-12
12,강준준,여성,56,서울,2024-07-14
13,안예연,남성,31,부산,2025-09-24
14,최수희,남성,47,성남,2024-11-05
15,오영수,남성,58,대구,2024-07-04
16,한주연,여성,32,성남,2024-02-20
17,김서빈,남성,37,수원,2025-06-26
18,박영준,여성,64,성남,2024-02-05
19,윤성서,여성,26,용인,2024-04-10
20,권태윤,남성,34,수원,2025-11-26
21,황유민,여성,32,용인,2024-11-03
22,정민연,남성,57,서울,2024-03-29
23,송준윤,남성,39,광주,2025-12-17
24,장주영,여성,18,서울,2025-04-19
25,신다현,여성,39,인천,2026-04-23
26,오성준,남성,46,부산,2024-10-02
27,송영린,남성,20,서울,2025-02-24
28,황하아,남성,51,부산,2025-07-28
29,서영아,남성,44,인천,2024-09-06
30,한성희,남성,53,수원,2025-10-28
31,윤태원,여성,29,대구,2025-09-03
32,이현민,여성,41,서울,2024-12-05
33,신다진,남성,37,광주,2025-06-16
34,황하민,남성,29,광주,2025-09-01
35,안은아,여성,32,성남,2026-05-12
36,장윤준,여성,33,성남,2025-04-25
37,정서현,여성,21,서울,2024-07-27
38,강지원,남성,23,인천,2026-05-27
39,박서아,남성,33,서울,2024-12-17
40,오서우,여성,38,서울,2025-12-31
41,최채윤,여성,23,대구,2026-05-20
42,송하서,남성,37,창원,2025-06-16
43,김지민,여성,69,부산,2024-08-02
44,조지수,남성,34,창원,2025-09-15
45,신지진,남성,41,수원,2025-03-07
46,송태아,여성,18,서울,2025-04-28
47,장수연,여성,44,서울,2026-05-06
48,박서빈,남성,39,용인,2026-03-12
49,안재현,여성,23,창원,2025-02-08
50,오성서,여성,41,창원,2026-05-21
51,한유연,남성,40,인천,2026-05-03
52,안예빈,여성,35,서울,2026-02-26
53,송준민,남성,41,성남,2025-04-30
54,이주미,남성,28,광주,2025-03-18
55,박주영,남성,30,광주,2025-10-17
56,홍정진,남성,28,성남,2024-06-30
57,오정윤,남성,24,서울,2024-03-08
58,정영희,남성,49,광주,2024-03-02
59,황지민,여성,40,서울,2026-04-28
60,홍성연,남성,39,창원,2024-08-15
61,홍현미,남성,39,용인,2024-02-01
62,홍재현,여성,33,대구,2024-01-08
63,조예우,여성,48,용인,2026-04-15
64,권준희,여성,18,창원,2026-03-22
65,한현현,남성,33,창원,2024-03-01
66,황하경,여성,34,수원,2025-06-27
67,이은현,남성,18,용인,2024-03-23
68,안성린,여성,37,서울,2025-05-01
69,권서수,남성,25,수원,2024-08-21
70,송유민,여성,35,용인,2024-12-17
71,오하희,여성,27,창원,2025-08-06
72,신채민,여성,20,성남,2026-05-25
73,윤정윤,여성,44,인천,2025-01-29
74,윤도희,여성,37,서울,2025-05-06
75,홍다현,여성,49,서울,2025-10-15
76,김예아,남성,18,서울,2026-05-26
77,홍유민,여성,21,서울,2026-03-18
78,황예진,남성,40,서울,2025-09-19
79,윤채민,남성,37,부산,2025-06-12
80,장재연,남성,26,인천,2025-04-16
81,오재원,남성,46,용인,2024-04-01
82,한재연,여성,45,서울,2025-02-25
83,홍은서,남성,39,부산,2026-05-03
84,송재빈,남성,44,창원,2025-09-20
85,박재우,남성,38,인천,2025-01-13
86,안예린,여성,27,창원,2025-07-26
87,김하현,여성,39,부산,2026-05-15
88,서현우,남성,23,고양,2024-01-07
89,최현린,여성,37,서울,2024-03-10
90,최주빈,남성,42,창원,2024-01-14
91,박다아,남성,32,광주,2025-05-22
92,서유진,여성,54,인천,2024-06-17
93,신민경,남성,19,고양,2024-04-06
94,이성준,여성,35,고양,2025-04-11
95,한윤진,남성,32,고양,2025-03-22
96,강민서,남성,32,울산,2024-08-10
97,안수호,여성,38,광주,2026-05-10
98,서성현,여성,42,고양,2024-08-20
99,오윤빈,남성,36,서울,2026-05-08
100,신지수,여성,26,대구,2025-11-23
101,신서호,남성,49,서울,2026-03-15
102,황하아,남성,25,울산,2026-05-18
103,송은희,남성,33,창원,2024-08-07
104,윤성원,여성,46,서울,2024-02-04
105,황다석,남성,31,성남,2024-10-27
106,전유아,여성,53,인천,2024-10-01
107,전태린,여성,55,부산,2024-06-19
108,조도영,남성,18,부산,2026-04-03
109,정예연,남성,18,용인,2024-05-08
110,조현수,남성,42,서울,2025-07-10
111,정하현,남성,33,광주,2025-11-28
112,권태아,여성,43,인천,2026-04-16
113,오지서,남성,28,성남,2024-06-16
114,장지호,남성,33,광주,2024-06-17
115,김하진,남성,38,부산,2024-02-16
116,홍재경,남성,38,서울,2025-07-04
117,최민호,남성,46,수원,2026-01-19
118,권주서,여성,26,부산,2024-09-19
119,강수수,여성,35,수원,2025-01-31
120,전영빈,여성,47,고양,2024-11-19
121,박채현,남성,30,인천,2025-11-11
122,이정민,남성,38,고양,2024-03-10
123,정서진,여성,30,서울,2025-02-12
124,강지석,남성,28,대전,2024-09-10
125,장수진,여성,37,서울,2024-08-20
126,조태준,남성,38,부산,2025-07-09
127,한은빈,남성,36,부산,2026-01-04
128,박정진,남성,32,용인,2025-03-16
129,한서아,여성,37,수원,2025-02-23
130,이하현,남성,48,인천,2024-01-25
131,장서민,남성,29,부산,2026-01-13
132,윤재현,여성,31,부산,2025-04-17
133,윤채준,남성,31,수원,2025-09-28
134,박민수,남성,33,서울,2025-11-18
135,신수진,여성,25,대전,2024-01-28
136,전성연,여성,43,고양,2025-08-24
137,황지민,여성,43,서울,2026-01-09
138,송서민,여성,30,서울,2024-02-27
139,서정영,여성,35,서울,2026-04-05
140,박서진,여성,34,성남,2024-02-02
141,오채윤,여성,33,창원,2025-10-06
142,전서윤,여성,18,광주,2025-01-28
143,최예준,남성,26,부산,2024-12-11
144,신예원,남성,41,성남,2025-06-14
145,윤준영,여성,45,부산,2025-01-14
146,송예영,여성,35,창원,2024-07-08
147,홍영현,여성,25,수원,2025-12-29
148,한하원,남성,27,대전,2025-05-30
149,김윤원,남성,23,수원,2025-04-25
150,박현호,남성,18,대전,2025-10-09
151,윤태윤,여성,53,서울,2024-08-09
152,김재미,남성,37,창원,2026-04-22
153,신민린,남성,43,서울,2024-05-25
154,정주연,여성,28,광주,2025-12-06
155,한유미,남성,37,광주,2025-06-05
156,조채서,여성,52,광주,2024-07-15
157,최은연,여성,24,부산,2025-06-27
